date;temperature;luminosity;co2;humidity
2018-06-04T15:47:38.545951;[27-28];[600-900];[0-400];[42-45]
2018-06-04T15:49:38.575140;[27-28];[550-600];[0-400];[42-45]
2018-06-04T15:51:38.608496;[27-28];[400-500];[0-400];[42-45]
2018-06-04T15:53:38.637896;[27-28];[200-400];[0-400];[42-45]
2018-06-04T15:55:38.663094;[27-28];[200-400];[0-400];[42-45]
2018-06-04T15:57:38.691200;[26-27];[200-400];[0-400];[42-45]
2018-06-04T15:59:38.723269;[27-28];[200-400];[0-400];[42-45]
2018-06-04T16:01:38.754062;[27-28];[200-400];[0-400];[42-45]
2018-06-04T16:03:38.786892;[26-27];[200-400];[0-400];[42-45]
2018-06-04T16:05:38.817500;[27-28];[200-400];[0-400];[37-42]
2018-06-04T16:07:38.846726;[27-28];[200-400];[0-400];[37-42]
2018-06-04T16:09:38.880127;[26-27];[200-400];[0-400];[42-45]
2018-06-04T16:11:38.908647;[26-27];[200-400];[0-400];[42-45]
2018-06-04T16:13:38.939745;[27-28];[<200];[0-400];[42-45]
2018-06-04T16:15:38.971527;[26-27];[200-400];[0-400];[42-45]
2018-06-04T16:17:39.007662;[27-28];[200-400];[0-400];[42-45]
2018-06-04T16:19:39.029729;[26-27];[200-400];[0-400];[42-45]
2018-06-04T16:21:39.060675;[26-27];[200-400];[0-400];[42-45]
2018-06-04T16:23:39.088481;[26-27];[200-400];[0-400];[42-45]
2018-06-04T16:25:39.118274;[26-27];[200-400];[0-400];[42-45]
2018-06-04T16:27:39.146846;[27-28];[200-400];[0-400];[42-45]
2018-06-04T16:29:39.178167;[26-27];[200-400];[0-400];[42-45]
2018-06-04T16:31:39.230446;[26-27];[200-400];[0-400];[37-42]
2018-06-04T16:33:39.244142;[26-27];[200-400];[0-400];[42-45]
2018-06-04T16:35:39.276525;[26-27];[200-400];[0-400];[37-42]
2018-06-04T16:37:39.308465;[26-27];[200-400];[0-400];[42-45]
2018-06-04T16:39:39.338413;[26-27];[200-400];[0-400];[42-45]
2018-06-04T16:41:39.377528;[26-27];[200-400];[0-400];[37-42]
2018-06-04T16:43:39.423204;[26-27];[<200];[0-400];[37-42]
2018-06-04T16:45:39.434914;[26-27];[<200];[0-400];[37-42]
2018-06-04T16:47:39.468070;[26-27];[<200];[0-400];[42-45]
2018-06-04T16:49:39.499767;[26-27];[<200];[0-400];[42-45]
2018-06-04T16:51:39.535531;[26-27];[<200];[0-400];[42-45]
2018-06-04T16:53:39.568752;[26-27];[200-400];[0-400];[42-45]
2018-06-04T16:55:39.602020;[26-27];[200-400];[0-400];[42-45]
2018-06-04T16:57:39.627286;[26-27];[400-500];[0-400];[42-45]
2018-06-04T16:59:39.659524;[26-27];[600-900];[0-400];[42-45]
2018-06-04T17:01:39.692218;[26-27];[600-900];[0-400];[42-45]
2018-06-04T17:03:39.721969;[26-27];[600-900];[0-400];[42-45]
2018-06-04T17:05:39.757525;[26-27];[900-950];[0-400];[42-45]
2018-06-04T17:07:39.783417;[26-27];[900-950];[0-400];[42-45]
2018-06-04T17:09:39.869248;[26-27];[900-950];[0-400];[42-45]
2018-06-04T17:11:39.864554;[26-27];[600-900];[0-400];[42-45]
2018-06-04T17:13:39.896201;[26-27];[600-900];[0-400];[42-45]
2018-06-04T17:15:39.926343;[26-27];[600-900];[0-400];[42-45]
2018-06-04T17:17:39.956810;[26-27];[500-550];[0-400];[42-45]
2018-06-04T17:19:39.987811;[26-27];[400-500];[0-400];[42-45]
2018-06-04T17:21:40.020359;[26-27];[200-400];[0-400];[42-45]
2018-06-04T17:23:40.049413;[26-27];[200-400];[0-400];[42-45]
2018-06-04T17:25:40.080250;[27-28];[200-400];[0-400];[42-45]
2018-06-04T17:27:40.111093;[26-27];[200-400];[0-400];[42-45]
2018-06-04T17:29:40.141158;[26-27];[200-400];[0-400];[42-45]
2018-06-04T17:31:40.169681;[26-27];[200-400];[0-400];[42-45]
2018-06-04T17:33:40.201502;[26-27];[200-400];[0-400];[42-45]
2018-06-04T17:35:40.231627;[26-27];[<200];[0-400];[42-45]
2018-06-04T17:37:40.267883;[26-27];[<200];[0-400];[42-45]
2018-06-04T17:39:40.303668;[26-27];[<200];[0-400];[42-45]
2018-06-04T17:41:40.336615;[26-27];[<200];[0-400];[42-45]
2018-06-04T17:43:40.431935;[26-27];[<200];[0-400];[42-45]
2018-06-04T17:45:40.400268;[26-27];[<200];[0-400];[42-45]
2018-06-04T17:47:40.426399;[26-27];[<200];[0-400];[42-45]
2018-06-04T17:49:40.461779;[26-27];[<200];[0-400];[42-45]
2018-06-04T17:51:40.492875;[26-27];[<200];[0-400];[42-45]
2018-06-04T17:53:40.531430;[26-27];[<200];[0-400];[42-45]
2018-06-04T17:55:40.560986;[26-27];[200-400];[0-400];[42-45]
2018-06-04T17:57:40.584450;[26-27];[<200];[0-400];[42-45]
2018-06-04T17:59:40.613953;[26-27];[<200];[0-400];[42-45]
2018-06-05T09:01:54.587929;[23.2-24.5];[200-400];[0-400];[45-55]
2018-06-05T09:03:54.568122;[23.2-24.5];[200-400];[0-400];[45-55]
2018-06-05T09:05:54.671247;[23.2-24.5];[200-400];[0-400];[45-55]
2018-06-05T09:07:54.693373;[23.2-24.5];[200-400];[0-400];[45-55]
2018-06-05T09:09:54.672961;[23.2-24.5];[200-400];[0-400];[45-55]
2018-06-05T09:11:54.686107;[23.2-24.5];[200-400];[0-400];[45-55]
2018-06-05T09:13:54.712040;[23.2-24.5];[200-400];[0-400];[45-55]
2018-06-05T09:15:54.825456;[23.2-24.5];[200-400];[0-400];[45-55]
2018-06-05T09:17:54.799369;[23.2-24.5];[400-500];[0-400];[45-55]
2018-06-05T09:19:54.804488;[23.2-24.5];[400-500];[0-400];[45-55]
2018-06-05T09:21:54.834915;[23.2-24.5];[400-500];[0-400];[45-55]
2018-06-05T09:23:54.861790;[24.5-26];[400-500];[0-400];[45-55]
2018-06-05T09:25:54.890698;[23.2-24.5];[400-500];[0-400];[45-55]
2018-06-05T09:27:54.920879;[23.2-24.5];[400-500];[0-400];[45-55]
2018-06-05T09:29:54.013570;[24.5-26];[400-500];[0-400];[45-55]
2018-06-05T09:31:54.105658;[23.2-24.5];[400-500];[0-400];[45-55]
2018-06-05T09:33:54.193069;[24.5-26];[400-500];[0-400];[45-55]
2018-06-05T09:35:54.287492;[23.2-24.5];[400-500];[0-400];[45-55]
2018-06-05T09:37:54.389158;[24.5-26];[400-500];[0-400];[45-55]
2018-06-05T09:39:54.484592;[24.5-26];[400-500];[0-400];[45-55]
2018-06-05T09:41:54.705410;[24.5-26];[400-500];[0-400];[45-55]
2018-06-05T09:43:54.729022;[23.2-24.5];[400-500];[0-400];[45-55]
2018-06-05T09:45:54.822993;[24.5-26];[400-500];[0-400];[45-55]
2018-06-05T09:47:54.871357;[23.2-24.5];[500-550];[0-400];[45-55]
2018-06-05T09:49:54.955248;[24.5-26];[500-550];[0-400];[45-55]
2018-06-05T09:51:55.078639;[24.5-26];[500-550];[0-400];[45-55]
2018-06-05T09:53:55.146721;[24.5-26];[400-500];[0-400];[45-55]
2018-06-05T09:55:55.241845;[24.5-26];[400-500];[0-400];[45-55]
2018-06-05T09:57:55.337464;[24.5-26];[400-500];[0-400];[45-55]
2018-06-05T09:59:55.408027;[24.5-26];[400-500];[0-400];[45-55]
2018-06-05T10:01:55.438686;[24.5-26];[500-550];[0-400];[45-55]
2018-06-05T10:03:55.465852;[24.5-26];[500-550];[0-400];[45-55]
2018-06-05T10:05:55.495159;[24.5-26];[400-500];[0-400];[45-55]
2018-06-05T10:07:55.576564;[24.5-26];[400-500];[0-400];[45-55]
2018-06-05T10:09:55.596433;[24.5-26];[200-400];[0-400];[45-55]
2018-06-05T10:11:55.588843;[24.5-26];[200-400];[0-400];[45-55]
2018-06-05T10:13:55.618246;[23.2-24.5];[200-400];[0-400];[45-55]
2018-06-05T10:15:55.686004;[24.5-26];[200-400];[0-400];[45-55]
2018-06-05T10:17:55.679569;[24.5-26];[200-400];[0-400];[45-55]
2018-06-05T10:19:55.709446;[24.5-26];[200-400];[0-400];[45-55]
2018-06-05T10:21:55.743634;[24.5-26];[200-400];[0-400];[45-55]
2018-06-05T10:23:55.791047;[24.5-26];[200-400];[0-400];[45-55]
2018-06-05T10:25:55.819675;[24.5-26];[200-400];[0-400];[45-55]
2018-06-05T10:27:55.851395;[24.5-26];[200-400];[0-400];[45-55]
2018-06-05T10:29:55.881965;[24.5-26];[200-400];[0-400];[45-55]
2018-06-05T10:31:55.911410;[24.5-26];[200-400];[0-400];[45-55]
2018-06-05T10:33:55.942797;[24.5-26];[200-400];[0-400];[45-55]
2018-06-05T10:35:55.971896;[24.5-26];[200-400];[0-400];[45-55]
2018-06-05T10:37:56.001120;[24.5-26];[200-400];[0-400];[45-55]
2018-06-05T10:39:56.053457;[24.5-26];[200-400];[0-400];[45-55]
2018-06-05T10:41:56.061146;[24.5-26];[200-400];[0-400];[45-55]
2018-06-05T10:43:56.090875;[24.5-26];[200-400];[0-400];[45-55]
2018-06-05T10:45:56.123593;[23.2-24.5];[200-400];[0-400];[45-55]
2018-06-05T10:47:56.149735;[24.5-26];[200-400];[0-400];[45-55]
2018-06-05T10:49:56.182038;[24.5-26];[200-400];[0-400];[45-55]
2018-06-05T10:51:56.214662;[24.5-26];[200-400];[0-400];[45-55]
2018-06-05T10:53:56.245960;[24.5-26];[200-400];[0-400];[45-55]
